初中英语单词|devise|英[dɪ'vaɪz] 美[dɪ'vaɪz]|v. 设计，发明|he devised a new method for teaching the blind.|他设计出一种教导盲人的新方法。|初中英语单词
初中英语单词|tease|英[tiːz] 美[tiːz]|n. 揶揄者；戏弄<br>v. 欺负；嘲弄|It's too bad of you to tease the child like that.<br>You must never tease a child because he stutters.<br>Don't take it seriously. He's only teasing.|你那样逗弄小孩真不好。<br>你切不可因为一个孩子口吃而去取笑他。<br>别把它当真，他只不过是在开玩笑。|初中英语单词
初中英语单词|bosom|英['bʊzəm] 美['bʊzəm]|n. 胸；内心|she wore a flower on the bosom of her dress.|在衣服的胸襟上，她戴了一朵花。|初中英语单词
初中英语单词|fume|英[fjuːm] 美[fjuːm]|n. 烟，气体 v. 冒烟，生气|the strong fumes of the automobile exhaust nearly choked him.|汽车排的强烈臭气几乎使他窒息。|初中英语单词
初中英语单词|racket|英['rækɪt] 美['rækɪt]|n. 球拍<br>n. 喧闹；敲诈；<俚>行业；职业<br>v. 喧闹；花天酒地|The ball just tipped the edge of his racket.<br>My hands blistered from holding the racket.<br>What a racket the children are making!<br>The students kicked up no end of a racket in the street.<br>They made excessive profits from the drug rackets.<br>How did she get into the modelling racket?<br>The children always racket about in the courtyard.<br>His wife used to racket about when she was young.|球仅仅碰到他球拍的边儿。<br>我的手因握球拍而起了水疱。<br>这些孩子太吵了！<br>这些学生在大街上大吵大闹。<br>他们从毒品非法交易中获取暴利。<br>她是怎样当上模特儿的？<br>孩子们总是在院子里吵吵闹闹。<br>他的妻子年轻时经常过着花天酒地的生活。|初中英语单词
初中英语单词|fatigue|英[fə'tiːɡ] 美[fə'tiːɡ]|n. 疲劳|he was pale with fatigue after his sleepless night.|经过一个无眠的夜晚，他因疲劳而脸色苍白。|初中英语单词
初中英语单词|sneer|英[snɪə(r)] 美[snɪr]|v. 轻蔑，嘲笑|the mean girl sneered at the poor girl's cheap clothes.|这个刻薄的女孩讥嘲那穷女孩的廉价衣服。|初中英语单词
初中英语单词|fantastic|英[fæn'tæstɪk] 美[fæn'tæstɪk]|adj. 极好的；巨大的；奇异的；难以置信的；幻想的|We watched a fantastic play yesterday evening.<br>I have a fantastic amount of work to do.<br>My daughter likes to describe her fantastic dreams to me.<br>She has got a lot of fantastic ideas which are impossible to be put into practice.|昨天晚上我们看了一场非常精彩的演出。<br>我有大量的工作要做。<br>我女儿喜欢给我讲她那些奇怪的梦。<br>她有一大堆不切实际的想法，这些想法不可能付诸实践。|初中英语单词
初中英语单词|appliance|英[ə'plaɪəns] 美[ə'plaɪəns]|n. 电器用品；应用|the modern house has many useful electrical appliances.|这间现代化的房子有许多实用的电气用具。|初中英语单词
初中英语单词|gravel|英['ɡrævl] 美['ɡrævl]|n. 碎石|the path to the house was covered with gravel.|通往这房子的小径布满了碎石。|初中英语单词
初中英语单词|what|英[wɒt] 美[wɑːt]|pron. 什么<br>adj. 什么；哪个<br>adv. 用于感叹句中<br>int. 什么|What are you having for dinner?<br>She is not what she was a few years ago.<br>What color is your dress?<br>What political party does he belong to?<br>What a lovely dog!|你晚饭吃什么？<br>她已经不是几年前的她了。<br>你的衣服是什么颜色？<br>他是哪个政党的成员？<br>狗真可爱呀！|初中英语单词
初中英语单词|is|英[ɪz] 美[ɪz]|v. 是（be 的第三人称单数一般现在时）|Spain is our favorite holiday spot.<br>The boy is 150 centimeters tall.<br>There is no doubt about it.<br>A friend in need is a friend indeed.<br>Pain past is pleasure.<br>The room is 15 feet in length and 10 feet in breadth.|西班牙是我们喜欢的度假地点。<br>这个男孩有 150 厘米高。<br>那是毫无疑问的。<br>患难之交才是真朋友。<br>过去的痛苦即是快乐。<br>这房间长 15 英尺，宽 10 英尺。|初中英语单词
初中英语单词|what's|英[wɒts] 美[wɒts]|什么是|What's the date today, please?|请问今天几号 ?|初中英语单词
初中英语单词|your|英[jɔː(r)] 美[jʊr]|adj. 你的；你们的|Your work falls short of my expentatiocs.<br>Please advise us of any change in your plan.|你的工作未达到我的期望。<br>你们的计划倘有变更，请告诉我们。|初中英语单词
初中英语单词|name|英[neɪm] 美[neɪm]|n. 名称；姓名；名义；名誉；名人<br>v. 命名；取名；说出（ ……的名字）<br>adj. 著名的|The committee's name has been acronymed NACA.<br>Rubella is just another name for German measles.<br>She signed the poem with her real name.<br>He refused to disclose his name and address.<br>I greet you in the name of the President.<br>He has lent his name to the lofty cause.<br>That brought discredit on his name.<br>A good name is better than a good girdle.<br>Elton John is a big name in the music business.<br>You can name the bookmark at design time.<br>A string can be supplied to name the file.<br>You can name your pet dog.<br>She was named after her grandmother.<br>Can you name all the plants in this garden?<br>Name the five wealthiest people in the world.|该委员会的名称被缩合成 NACA。<br>风疹只是德国麻疹的另一个名称。<br>她在诗后署上了自己的真实姓名。<br>他拒绝透露自己的姓名和地址。<br>我代表总统前来迎接您。<br>他以自己的名义支持这一崇高的事业。<br>那件事使他的名誉受损。<br>名誉胜过金钱。<br>埃尔顿●约翰在音乐发行界是个名人。<br>您可以在设计时命名书签。<br>字符串可以用来命名该文件。<br>你可以给宠物狗起个名字。<br>她是根据她祖母的名字命名的。<br>你能说出这花园里所有植物的名字吗？<br>请说出世界上最富有的五个人的名字。|初中英语单词
初中英语单词|my|英[maɪ] 美[maɪ]|adj. 我的（I 的所有格形式）<br>int. 哎呦（用于表示惊讶的感叹词）|You mistook my meaning entirely.<br>My friend invited me to dine out.<br>My! Just look at all those beautiful cakes!<br>My, oh, my, what a busy day!|你完全误解了我的意思。<br>我的朋友邀请我出去吃饭。<br>哎呦！过来看看那些所有的好看的蛋糕！<br>哎呀，哦，真是忙碌的一天呀！|初中英语单词
初中英语单词|I|英[aɪ] 美[aɪ]|pron. 我|I didn't hurt you, did I.<br>It is I who will suffer.<br>I enjoy the book very much.|我没有伤害你，是吧？<br>我将是那个要受苦的人。<br>我非常喜欢那本书。|初中英语单词
初中英语单词|am|英[em] 美[em]|v. 是（动词 be 的第一人称形式）|I am a student at this school.|我是这所学校的学生。|初中英语单词
初中英语单词|I'm|英[aɪm] 美[aɪm]|=I am 我是|I'm not American, I'm Canadian.|我不是美国人，我是加拿大人。|初中英语单词
初中英语单词|in|英[ɪn] 美[ɪn]|prep. 在……里；在……地方；在……期间；在……方面；进入……里面；处于……状态；穿着……；以……的方式<br>adv. 在家；入；进；向里；在某地；并入；在某种关系中<br>adj. 在里面的；新来的；执政的；<口>时髦的<br>n. 当权者；影响；达成目标的路径|The telephone was in the little study on the ground floor.<br>The books are printed in Hong Kong.<br>They are in research of this new technique.<br>He is a layman in economics.<br>I invited him in for a drink.<br>I am sorry that my room is in such a mess.<br>She looked so beautiful in her wedding dress.<br>You have to pay in cash.<br>We are trying to teach mathematics in a more interesting way.<br>We all sat around in a circle.<br>He is not in at the moment.<br>He opened the door and stepped in.<br>She looked in the window and found a baby sleeping on the bed.<br>The manager is in before anyone else.<br>They are having a heated argument. You'd better not wade in.<br>He got in bad with his roommate.<br>The in part of the machine is very complex.<br>He arrived in time to take the in bus.<br>He applied for a membership in the in party.<br>Thar kind of skirt has been in for a long time.<br>The election made him an in.<br>The businessman had an in with the authorities.<br>The job itself is really boring, but it's an in to a career in publishing.|电话在底楼的小房书里。<br>这些书在香港印刷。<br>他们正在研究这种新工艺。<br>他对经济学一窍不通。<br>我邀请他进屋喝一杯。<br>不好意思，我的房间太乱了。<br>她穿上婚纱看起来真美。<br>你得付现金。<br>我们正在努力尝试着用一种有趣的方式来教数学。<br>我们围成一圈坐在一起。<br>这个时候他不在家。<br>他打开门走了进去。<br>她朝窗户里看，发现有个婴儿在床上睡觉。<br>经理在别人来之前就到了<br>他们讨论地很激烈，你最好不要介入。<br>他与室友相处得不好。<br>该机器内部结构非常复杂。<br>他来得及时，正好赶上了新开来的汽车。<br>他申请成为当前执政党中的一员。<br>那种式样的短裙流行了很长时间。<br>这次选举使他成为执政者。<br>这个生意人与当局有特殊的关系。<br>那份工作本身真的很无聊，不过却是以后从事出版业的一块跳板。|初中英语单词
初中英语单词|row|英[rəʊ] 美[roʊ]|n. 排；划船；路；吵闹<br>v. 划船；将……排成排；吵架|Students stand hand in hand in a row.<br>He glanced towards the row of girls.<br>They asked me to go for a row with them.<br>He had a row with his neighbor.<br>I had a stand-up row with my boss today.<br>Can you row me up/across the river?<br>He likes to row and to play tennis.<br>They are rowing again.|学生们手牵手站成一排。<br>他拿眼把那一排女孩子一溜。<br>他们邀请我和他们一道去划船。<br>他与邻居吵了一架。<br>今天我跟上司大吵了一顿。<br>你能划船将我送到河的上游/对岸吗？<br>他喜欢划船也喜欢打网球。<br>他们又吵起来了。|初中英语单词
初中英语单词|one|英[wʌn] 美[wʌn]|n. 一；一个；一体<br>adj. 一个的；某一个的；唯一的；同一的<br>pron. 任何人；某人|A person has one head and one neck.<br>No one can live without breathing.<br>If only problems would come one at a time!<br>One should do his best for the cause of world peace.<br>No one of you could lift that piano.<br>One Smith is waiting for you in your office.|每人都有一个头，一个脖子。<br>没有一个人可以不呼吸而生存。<br>要是问题一次只发生一个该多好！<br>一个人应该为世界和平事业尽最大努力。<br>你们一个人谁也抬不动那架钢琴。<br>一个名叫史密斯的人在你办公室等你。|初中英语单词
初中英语单词|number|英['nʌmbə(r)] 美['nʌmbə(r)]|n. 号码；数量；数字<br>v. 总计；编号；编号；把……算作|He picked a winning number on the first draw.<br>I slipped up and gave you the wrong phone number.<br>The number of fish in coastal waters has decreased.<br>The number of your finger is ten.<br>He painted the number out on the door.<br>The students of our department numbered in the hundreds.<br>That record numbers among the top ten.<br>That record numbers among the top ten.<br>I am proud to number him among my friends.|他第一次便抽到一个中奖号码。<br>我粗心大意给错了你电话号码。<br>沿海鱼的数量已减少了。<br>你双手手指的总数是 10。<br>她用漆涂掉了门上的数字。<br>我们系的学生总共有几百人。<br>那张唱片列入前十名之中。<br>那张唱片列入前十名之中。<br>把他算作我的朋友，我感到自豪。|初中英语单词
