#separator:|
#html:true
#notetype:正反注释
#deck:New::语文::成语

# 1-100

哀而不伤|1、原来指悲伤不至于使人伤害身心。后形容诗歌、音乐优美雅致，感情适度，具中和之美。<br>2、比喻做事情适中，没有过与不及之处。<br>3、指悲伤而不过分，并非不伤心。|哀，悲哀；伤，妨害。
哀鸿遍野|比喻呻吟呼号、流离失所的灾民到处都是。|哀鸿，哀鸣的大雁，比喻悲哀呼号的灾民。
安土重迁|在家乡住惯了，安于本乡本土，不愿轻易迁移。形容留恋故土。|重，看得很重。
安步当车|慢慢地步行，就当是坐车。古代贵族出外都要乘车，因此该成语称人能安贫守贱。现在多用于表示不乘车而从容步行。|安，安详，不慌不忙；步，行行；当，当作。<br>「错例」当时暴雨如注，满路泥泞，汽车已无法行走，抢险队员们只好安步当车，跋涉一个多小时赶到了大坝。
安身立命|指生活有着落，精神有所寄托。|安身：容身，指在某地居住或生活；立命：使精神安定。
安之若素|遇到不顺利情况或反常现象，像平常一样对待，毫不在意。不能误为「安心」。在也指对错误的言论和行为不闻不问，听之任之。|素：向来，素来。<br>「错例」声名无论大小，都是靠诚实的劳动、创造实绩获得的。实至名归，才能安之若素；以名砺志，才会不断进取。
爱屋及乌|比喻因喜爱一个人而连带喜爱跟他有关的人或物。|
白驹过隙|比喻时间过得很快，就像骏马在细小的缝隙前飞快地越过一样。|白驹（jū）：原指骏马，后比喻日影。<br>「错例」突然，一个影子如白驹过隙般一闪而过，快捷异常。
稗官野史|指记载轶闻琐事的作品。|稗（bài）官，古代的小官。野史，古代私家编撰的史书。
鞭辟入里|形容能透彻说明问题，深中要害。|
坂上走丸|形容事情发展很快。|坂（bǎn），山坡，斜坡。<br>「错例」从某种意义上讲，搞财务工作犹如阪上走丸，有一定的风险，只有精通业务，严于律己，才能「化险为夷」。
暴虎冯河|赤手空拳打老虎，没有渡船要过河。比喻有勇无谋，冒险行事。|暴，徒手搏斗。冯（píng）：徒步。
暴殄天物|原指残害灭绝天生的自然资源，后泛指任意损害糟蹋物品。|暴，损害。殄（tiǎn），灭绝。
